752.50000	583.50800
-752.50000	-108.05000
-451.50000	-108.05000
-451.50000	-109.00000
-448.50000	-109.00000
-448.50000	-108.05000
6.99900	-108.05000
6.99900	-59.80000
13.99900	-59.80000
13.99900	-57.98700
17.99900	-57.98700
17.99900	-59.80000
24.99900	-59.80000
24.99900	-108.05000
448.50000	-108.05000
448.50000	-109.00000
451.50000	-109.00000
451.50000	-108.05000
784.49900	-108.05000
784.50000	-583.50800
524.50000	-583.50800
524.50000	-308.05000
409.50000	-308.05000
409.50000	-583.50800
229.50000	-583.50800
229.50000	-308.05000
70.99900	-308.05000
70.99900	-583.50800
-39.00100	-583.50800
-39.00100	-308.05000
-197.50000	-308.05000
-197.50000	-583.50800
-377.50000	-583.50800
-377.50000	-308.05000
-492.50000	-308.05000
-492.50000	-583.50800

11.50000	-795.90500
11.50000	-680.83000
-165.00100	-680.83000
-165.00100	-379.63000
-74.00100	-379.63000
-74.00100	-618.63000
108.99900	-618.63000
108.99900	-379.63000
196.99900	-379.63000
196.99900	-680.83000
21.50000	-680.83000
21.50000	-795.90500
